,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,screen_count,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries,timestamp
0,Fri Jun 18 17:55:49 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ 🧵
https://t.co/CRDhqPHFWM",Africa `` midst full-blown third wave '' coronavirus head warnedCases risen across continent deaths also risen last week reports,"Sentiment(polarity=0.0, subjectivity=0.03333333333333333)",0.0,0.03333333333333333,en,0,0,ketuesriche,204051,551,351,,,"TelGlobalHealth, WHOAFRO",,Mass,2021-06-18 17:55:49+00:00
1,Fri Jun 18 17:55:59 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc",Dr Moeti head WHO Africa one best public health experts leaders I know Hers desperate request vaccines Africa We plead Germany UK lift patent restrictions urgently transfer technology enable production Africa,"Sentiment(polarity=0.13333333333333333, subjectivity=0.45555555555555555)",0.13333333333333333,0.45555555555555555,en,0,0,Grid1949,3462,66,92,,,globalhlthtwit,,"Edinburgh, Scotland",2021-06-18 17:55:59+00:00
2,Fri Jun 18 17:56:07 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thank you @research2note for creating this amazing campaign &amp; turning social media #red4research today. @NHSRDFORUM is all about sharing the talent, passion  &amp; commitment of individuals coming together as a community for the benefit of all. You've done this. Well done 👋",Thank creating amazing campaign amp turning social media today sharing talent passion amp commitment individuals coming together community benefit You 've done Well done,"Sentiment(polarity=0.3166666666666667, subjectivity=0.48333333333333334)",0.3166666666666667,0.48333333333333334,en,0,0,LeeTomlinson8,6727,1195,1176,,red4research,"NHSRDForum, Research2note, NHSRDForum",,,2021-06-18 17:56:07+00:00
3,Fri Jun 18 17:56:10 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Former Pfizer VP and Virologist, Dr. Michael Yeadon, is one of the most credentialed medical professionals speaking out about the dangers of the #Covid19 vaccines, breaks down his “list of lies” that keeps him up at night. https://t.co/LSE8CrKdqn",Former Pfizer VP Virologist Dr. Michael Yeadon one credentialed medical professionals speaking dangers vaccines breaks list lies keeps night,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,RIPNY08,45477,2666,2704,,,HighWireTalk,,,2021-06-18 17:56:10+00:00
4,Fri Jun 18 17:56:20 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I think it’s important that we don’t sell COVAX short. It still has a lot going for it and is innovative in its design. But it needs more vaccines to share.  We’re hoping our low cost @TexasChildrens recombinant protein COVID19 vaccine with @biological_e will help fill some gaps,I think important dont sell COVAX short It still lot going innovative design But needs vaccines share Were hoping low cost recombinant protein COVID19 vaccine help fill gaps,"Sentiment(polarity=0.225, subjectivity=0.6499999999999999)",0.225,0.6499999999999999,en,0,0,pash22,277957,28250,30819,,,PeterHotez,,United Kingdom,2021-06-18 17:56:20+00:00
5,Fri Jun 18 17:56:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",Im pleased welcome bus Atlanta today Remember easy ways find vaccine near Search Text ZIP code Call -800-232-0233,"Sentiment(polarity=0.45833333333333337, subjectivity=0.7833333333333333)",0.45833333333333337,0.7833333333333333,en,0,0,SandhraLee,272151,759,4163,,"WeCanDoThis, COVID19",CDCDirector,,USA,2021-06-18 17:56:25+00:00
6,Fri Jun 18 17:56:44 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",Yet another amazingly qualified courageous doctor Roger Hodkinson speaks crazy government policy responses COVID I condensed minutes The Hirewire Twitter size edits starting overview interventions vaccines,"Sentiment(polarity=3.700743415417188e-17, subjectivity=0.6333333333333334)",3.700743415417188e-17,0.6333333333333334,en,0,0,neilwalton48,3854,221,599,,,RealJoelSmalley,,,2021-06-18 17:56:44+00:00
7,Fri Jun 18 17:56:46 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",Yet another amazingly qualified courageous doctor Roger Hodkinson speaks crazy government policy responses COVID I condensed minutes The Hirewire Twitter size edits starting overview interventions vaccines,"Sentiment(polarity=3.700743415417188e-17, subjectivity=0.6333333333333334)",3.700743415417188e-17,0.6333333333333334,en,0,0,Candide62,3185,154,1102,,,RealJoelSmalley,,"Nord-Pas-de-Calais, France",2021-06-18 17:56:46+00:00
8,Fri Jun 18 17:56:47 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",It really something see new research coming damage brain heart And watch government reopen everything let Covid spread wildly throughout country.Vaccines great need,"Sentiment(polarity=0.3090909090909091, subjectivity=0.45113636363636367)",0.3090909090909091,0.45113636363636367,en,0,0,DarkaDuna2014,2427,94,144,,Covid19,LongCovidNYC,,"Bilbao, País Vasco",2021-06-18 17:56:47+00:00
9,Fri Jun 18 17:56:52 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",Im pleased welcome bus Atlanta today Remember easy ways find vaccine near Search Text ZIP code Call -800-232-0233,"Sentiment(polarity=0.45833333333333337, subjectivity=0.7833333333333333)",0.45833333333333337,0.7833333333333333,en,0,0,Jmilio54,359,15,43,,"WeCanDoThis, COVID19",CDCDirector,,,2021-06-18 17:56:52+00:00
10,Fri Jun 18 17:56:54 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,BioCubaFarma says phase clinical trial results due days Soberana02 without booster Abdala tested K+ volunteers Havana eastern Cuba,"Sentiment(polarity=-0.125, subjectivity=0.375)",-0.125,0.375,en,0,0,LilyWad75051099,1685,474,361,,"Cuban, COVID19, vaccines",MediccGail,,,2021-06-18 17:56:54+00:00
11,Fri Jun 18 17:57:06 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",It really something see new research coming damage brain heart And watch government reopen everything let Covid spread wildly throughout country.Vaccines great need,"Sentiment(polarity=0.3090909090909091, subjectivity=0.45113636363636367)",0.3090909090909091,0.45113636363636367,en,0,0,trekkerteach12,136334,7778,5990,,Covid19,LongCovidNYC,,,2021-06-18 17:57:06+00:00
12,Fri Jun 18 17:57:18 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",It really something see new research coming damage brain heart And watch government reopen everything let Covid spread wildly throughout country.Vaccines great need,"Sentiment(polarity=0.3090909090909091, subjectivity=0.45113636363636367)",0.3090909090909091,0.45113636363636367,en,0,0,SheriD17536431,22403,470,1240,,Covid19,LongCovidNYC,,Nashville,2021-06-18 17:57:18+00:00
13,Fri Jun 18 17:57:19 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.",Africa midst full blown third wave The sobering trajectory surging cases rouse everyone urgent action Weve seen India elsewhere quickly rebound overwhelm health systems,"Sentiment(polarity=0.1958333333333333, subjectivity=0.2875)",0.1958333333333333,0.2875,en,0,0,DuncanSteele8,92,48,74,,,MoetiTshidi,,,2021-06-18 17:57:19+00:00
14,Fri Jun 18 17:57:20 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@DrTedros ""Less than 2% of Africa’s population has been vaccinated.

Vaccines donated next year will be far too late for those who are dying today, or being infected today, or at risk today""-@DrTedros #COVID19 #VaccinEquity",`` Less Africas population vaccinated.Vaccines donated next year far late dying today infected today risk today '',"Sentiment(polarity=-0.09166666666666666, subjectivity=0.41666666666666663)",-0.09166666666666666,0.41666666666666663,en,0,0,ChrisRamsden4,18238,678,570,,,"WHO, DrTedros",,Kent,2021-06-18 17:57:20+00:00
15,Fri Jun 18 17:57:22 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","So glad to join training day for the DC #COVID19 Community Corps

They will be going door to door and attending events to encourage residents to #TakeTheShotDC 

Together, we’ll crush the virus! https://t.co/Q3MPcnZFJL https://t.co/NibVFurhtd",So glad join training day DC Community CorpsThey going door door attending events encourage residents Together well crush virus,"Sentiment(polarity=0.5, subjectivity=1.0)",0.5,1.0,en,0,0,stevenlwalker,35761,5769,1848,,COVID19,falcicchio,,Bending stuff towards justice,2021-06-18 17:57:22+00:00
16,Fri Jun 18 17:57:24 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.",Dr Moeti head WHO Africa one best public health experts leaders I know Hers desperate request vaccines Africa We plead Germany UK lift patent restrictions urgently transfer technology enable production Africa,"Sentiment(polarity=0.13333333333333333, subjectivity=0.45555555555555555)",0.13333333333333333,0.45555555555555555,en,0,0,yuccaldo,68112,1309,2618,,,globalhlthtwit,,"#mRNA/@pfizer 1.shot, 23.04",2021-06-18 17:57:24+00:00
