,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,screen_count,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries,timestamp
0,Thu Jun 17 06:26:34 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Giving forth life is becoming a burden in Kenya. This mother gave birth to 5 babies and having a hard time meeting their nutritional needs coz baby formula is expensive.

Turn her bundles of tears to joy by giving a hand.

Mpesa: 0728086425, Douglas Nyaoko https://t.co/DnPzMtvwjI",Giving forth life becoming burden Kenya This mother gave birth babies hard time meeting nutritional needs coz baby formula expensive.Turn bundles tears joy giving hand.Mpesa Douglas Nyaoko,"Sentiment(polarity=0.3194444444444445, subjectivity=0.5305555555555556)",0.3194444444444445,0.5305555555555556,en,0,0,reen_law,398,70,223,,,janetmachuka_,,,2021-06-17 06:26:34+00:00
1,Thu Jun 17 06:26:37 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Teenmaar - 26cr
Panja - 32.5cr
Gabbarsingh - 32cr 

Khaleja Kuda - 30varaku undhi 
Dookudu - 32.5cr
Businessman - 38cr 

Urike Ginjukuntaru endhuku ra mari appudu em ayyindhi Kottadaniki",Teenmaar crPanja crGabbarsingh cr Khaleja Kuda varaku undhi Dookudu crBusinessman cr Urike Ginjukuntaru endhuku ra mari appudu em ayyindhi Kottadaniki,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,0,0,Amigo9999_,19047,132,1084,,,maheshblood,,India,2021-06-17 06:26:37+00:00
2,Thu Jun 17 06:26:42 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rei chintu 2013 lo Vachina Ad Nizam ne 2018 lo kottaru 6 films pattinndhi 

Inka Agv Day1 kottaledhu entra meru matho disco esedhi",Rei chintu lo Vachina Ad Nizam ne lo kottaru films pattinndhi Inka Agv Day1 kottaledhu entra meru matho disco esedhi,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,0,0,MallaSuhaas,47341,2696,2525,,,Hail_Kalyan,,Vizag,2021-06-17 06:26:42+00:00
3,Thu Jun 17 06:26:44 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Today is World Day to Combat #Desertification and #Drought. Restoring degraded land brings #resilience, jobs and food security. Helps #biodiversity recover and slows #climatechange by locking away carbon. All critical to lifting so many out of poverty. @UN @UNDPClimate @UNDPinPNG",Today World Day Combat Restoring degraded land brings jobs food security Helps recover slows locking away carbon All critical lifting many poverty,"Sentiment(polarity=0.25, subjectivity=0.65)",0.25,0.65,en,0,0,CIACOceania,7039,343,387,,"Desertification, Drought, resilience",EdwardVrkic,,Papua New Guinea,2021-06-17 06:26:44+00:00
4,Thu Jun 17 06:26:47 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hearing #GregHunt say he's confident vaccines will be delivered is like hearing #Morrison say to the G7 he's reducing carbon emissions. #auspol,Hearing say 's confident vaccines delivered like hearing say G7 's reducing carbon emissions,"Sentiment(polarity=0.5, subjectivity=0.8333333333333334)",0.5,0.8333333333333334,en,0,0,MccarronWendy,26064,419,878,,"GregHunt, Morrison",WriteWithDave,,"Sydney, New South Wales",2021-06-17 06:26:47+00:00
5,Thu Jun 17 06:26:49 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Buy airtime across all networks from Mpesa even with Fuliza via @F_M_Networks paybill 555443
Account number; your phone number.  

#HowRutoSabotagedUhuru Kabando Locatelli Ramos #JKLive #javascript Arteta #SergioRamos #UhuruWaMamaMboga tony https://t.co/cHwIrAGreJ",Buy airtime across networks Mpesa even Fuliza via paybill Account number phone number Kabando Locatelli Ramos Arteta tony,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,OmarLali_,12376,3134,3167,,,"iamsoniah, F_M_Networks",,Kenya,2021-06-17 06:26:49+00:00
6,Thu Jun 17 06:26:50 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">sustaintrends</a>","Today is World Day to Combat #Desertification and #Drought. Restoring degraded land brings #resilience, jobs and food security. Helps #biodiversity recover and slows #climatechange by locking away carbon. All critical to lifting so many out of poverty. @UN @UNDPClimate @UNDPinPNG",Today World Day Combat Restoring degraded land brings jobs food security Helps recover slows locking away carbon All critical lifting many poverty,"Sentiment(polarity=0.25, subjectivity=0.65)",0.25,0.65,en,0,0,SustainTrends,299346,5930,159,,"Desertification, Drought, resilience",EdwardVrkic,,,2021-06-17 06:26:50+00:00
7,Thu Jun 17 06:26:51 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bag poeyindhi ani Tweet pedithe kaanisam react avvatledhu @NTRFansRJY Brothers   meraina react avvandi friends.. Panthulu dhaanalaku, kuda  money ledhu  plz avaraina help cheyandi..
Avaraina rajahmundry vallu vunte godavari dagara vunnam  Randi  please 🙏
@RHitmanfans chudu Bro",Bag poeyindhi ani Tweet pedithe kaanisam react avvatledhu Brothers meraina react avvandi friends .. Panthulu dhaanalaku kuda money ledhu plz avaraina help cheyandi .. Avaraina rajahmundry vallu vunte godavari dagara vunnam Randi please chudu Bro,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,et,0,0,suritarak9999,60843,1942,1555,,,"dhamodarpilla, NTRFansRJY",,Twitter loo🤥,2021-06-17 06:26:51+00:00
8,Thu Jun 17 06:26:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Deployment of low carbon technologies need to be taken up on a massive scale, especially in  MSMEs;  Electric Mobility should be more aggressively pushed : Shri R K Singh , Union Power Minister
@PIB_India @DDNewslive @MIB_India",Deployment low carbon technologies need taken massive scale especially MSMEs Electric Mobility aggressively pushed Shri R K Singh Union Power Minister,"Sentiment(polarity=0.0, subjectivity=0.7666666666666666)",0.0,0.7666666666666666,en,0,0,PIBChandigarh,46391,9276,208,,,power_pib,,"Chandigarh, India",2021-06-17 06:26:59+00:00
9,Thu Jun 17 06:27:01 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Austria has the ""right"" grid tariffs and regulatory regimes to support #microgrids like the one @Siemens Campus in Vienna 
https://t.co/EXWzdIfGyg https://t.co/SnhdKqQUuj",Austria `` right '' grid tariffs regulatory regimes support like one Campus Vienna,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0.2857142857142857,0.5357142857142857,en,0,0,KENJIHARASAN,71653,1051,463,,microgrids,"em_baumann, Siemens",,South & East Asia Pacific ,2021-06-17 06:27:01+00:00
