created_at,source,original_text,clean_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Tue Jul 27 09:04:55 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Kits_Shop: Italy NT Overall  Kit

Now available  

Promo: 10% discount
Phone/WhatsApp 08039562419
Telegram:https:https://t.co/aa7W48b3Z…",Italy NT Overall KitNow available Promo discountPhone/WhatsApp Telegram,0.2,0.2,en,20,28,aproko_doctor,1117925,9395,,,Kits_Shop,Lagos Nigeria
Tue Jul 27 08:04:12 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@DrTSquare Lmao. Make I just kpim.,Lmao Make I kpim,0.6,1.0,en,0,0,aproko_doctor,1117925,9395,,,DrTSquare,Lagos Nigeria
Tue Jul 27 08:03:39 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Don't just tweet about kindness, be kind in real life.",Do n't tweet kindness kind real life,0.4,0.6000000000000001,en,0,0,aproko_doctor,1117925,9395,,,,Lagos Nigeria
Tue Jul 27 08:03:20 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Chydee: Please, let’s try as much as possible not to make this an unsafe place for people to voice their pain. There will always be ins…",Please lets try much possible make unsafe place people voice pain There always ins,0.0,1.0,en,203,76,aproko_doctor,1117925,9395,,,Chydee,Lagos Nigeria
Tue Jul 27 07:54:40 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@chemicalbrodar 😶,,0.0,0.0,und,0,0,aproko_doctor,1117925,9395,,,chemicalbrodar,Lagos Nigeria
Tue Jul 27 07:49:45 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Biyi, please your life is at risk. You should see it by now.

Get a warrant, make her pay for all she destroyed. You'll be doing yourself a favor. https://t.co/z7R8mF4IVD",Biyi please life risk You see now.Get warrant make pay destroyed You 'll favor,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,False,,,Lagos Nigeria
Tue Jul 27 07:30:27 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@theprincelyx Fresh,Fresh,0.3,0.5,en,0,0,aproko_doctor,1117925,9395,,,theprincelyx,Lagos Nigeria
Tue Jul 27 07:17:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@DrA_001 Might never leave. Might be on the conditions we just live it.,Might never leave Might conditions live,0.13636363636363635,0.5,en,0,0,aproko_doctor,1117925,9395,,,DrA_001,Lagos Nigeria
Tue Jul 27 06:58:05 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@theonly1acre Thank you!,Thank,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,theonly1acre,Lagos Nigeria
Mon Jul 26 19:56:14 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The day he tries it, is the day he leaves the house. Go and do your doctor thing outside. https://t.co/pXalYWukdt",The day tries day leaves house Go doctor thing outside,-0.05,0.225,en,0,0,aproko_doctor,1117925,9395,False,,,Lagos Nigeria
Mon Jul 26 19:24:42 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@SamuelOtigba @DrBisola Happy birthday @DrBisola,Happy birthday,0.8,1.0,en,0,0,aproko_doctor,1117925,9395,,,"SamuelOtigba, DrBisola, DrBisola",Lagos Nigeria
Mon Jul 26 17:47:31 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@ThisIsBsong No,No,0.0,0.0,und,0,0,aproko_doctor,1117925,9395,,,ThisIsBsong,Lagos Nigeria
Mon Jul 26 17:00:15 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Just incase you didn't get the message the first time!

Those of you who think the shape of breasts is affected by sex should hear word! https://t.co/bNRd5b8AAr",Just incase n't get message first time Those think shape breasts affected sex hear word,0.390625,0.3333333333333333,en,0,0,aproko_doctor,1117925,9395,False,,,Lagos Nigeria
Mon Jul 26 14:28:55 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Potatoes will potate https://t.co/e9MOh6q7Jc,Potatoes potate,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,False,,,Lagos Nigeria
Mon Jul 26 12:27:32 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@urchilla01 Lmao. Standard practice na,Lmao Standard practice na,0.3,0.5,en,0,0,aproko_doctor,1117925,9395,,,urchilla01,Lagos Nigeria
Mon Jul 26 10:55:33 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @_PLICE: Sometimes what people mean by ""What a beauty!"" Is ""What a Lightskin"".",Sometimes people mean `` What beauty '' Is `` What Lightskin '',-0.390625,0.6875,en,414,96,aproko_doctor,1117925,9395,,,_PLICE,Lagos Nigeria
Mon Jul 26 10:52:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@asemota Na to dey follow you bumper to bumper o.,Na dey follow bumper bumper,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,asemota,Lagos Nigeria
